Feature,Coefficient,AbsCoefficient
Prev Squad Value,0.31829965516203634,0.31829965516203634
Prev Expenditure,0.21851992877705997,0.21851992877705997
Prev Goals Against,-0.2043224263502288,0.2043224263502288
Prev Goals For,0.14027908192409483,0.14027908192409483
Prev Expenditure_missing,-0.09870091754333972,0.09870091754333972
Prev Avg. Squad Age,-0.07315554432296949,0.07315554432296949
Prev Points,-0.05949584129307816,0.05949584129307816
Prev Income,-0.04463153874337891,0.04463153874337891
Prev Income_missing,0.0284672403666224,0.0284672403666224
