league,n_train,n_holdout,alpha,l1_ratio,n_active_features,train_r2,train_rmse,val_rmse,holdout_rmse,holdout_mae,holdout_r2
Bundesliga,127,16,0.0001030694345628774,0.014546074558039654,9,0.6238336468406982,8.98436325626091,1.0093384423790428,8.454350305987717,6.89763500540416,0.6383249128584207
Championship,185,20,0.00012907283648328947,0.01317673246334039,9,0.24850129691000233,13.575502578692037,0.7508015396669802,13.521293680257886,10.829937652465116,0.31536330591753337
LaLiga,123,17,0.0368378445183044,0.7930794469017464,8,0.707209089003175,9.268611763890425,0.7307941795392191,11.090987372349419,8.914165481916646,0.5168407641108141
League One,188,24,0.0016166642731677973,0.9882156020571693,9,0.2232295972153603,14.580540929356998,0.8564797597161256,16.671467960695107,14.088714424134963,0.1711595110403078
League Two,176,22,0.14371681257531851,0.47170343670857734,5,0.0920046232486249,14.20324948022379,0.8153181117996746,12.405948542899983,10.452784061426057,-0.012604788708550085
Ligue One,140,15,0.00012907283648328947,0.01317673246334039,9,0.4127008295456477,12.861541652181408,0.7343391162542787,12.181224412246406,8.970590716494785,0.4212460329917267
Premier League,159,19,0.013309333177560627,0.9118844276279587,8,0.5722547594577317,11.774438762653096,0.6860740352873367,12.245820405089573,9.079628569252641,0.411646281146713
Serie A,135,17,0.1134773248244049,0.6581539591431409,5,0.7107479919597701,9.645001226388265,0.7560019669224225,10.625976462096345,8.045449747360092,0.6768529649593544
