Feature,Coefficient,AbsCoefficient
Prev Squad Value,0.3182991913808709,0.3182991913808709
Prev Expenditure,0.2185052721615628,0.2185052721615628
Prev Goals Against,-0.20427012045107396,0.20427012045107396
Prev Goals For,0.14017930953343297,0.14017930953343297
Prev Expenditure_missing,-0.0986826074131488,0.0986826074131488
Prev Avg. Squad Age,-0.073148008937746,0.073148008937746
Prev Points,-0.05936936828191749,0.05936936828191749
Prev Income,-0.04460622899494305,0.04460622899494305
Prev Income_missing,0.028437376779083107,0.028437376779083107
