feature,mean_abs_shap
Prev Points,0.3361883814164524
Prev Squad Value,0.1757388195386691
Prev Goals For,0.1160215487376139
Prev Goals Against,0.04668730436979055
Prev Income,0.03316500754015503
Prev Avg. Squad Age,0.023262636702448544
Prev Expenditure_missing,0.009786184129407835
Prev Expenditure,0.007411847297635706
Prev Income_missing,0.0
