League,train_rows,holdout_rows,rmse,mae,r2,prediction_interval_coverage
Championship,208,20,13.599930530206345,11.101188494019324,0.30737675843904044,0.95
League One,208,24,16.137971060000755,13.632195051174941,0.22335752504943784,0.875
League Two,198,22,12.06222082399723,10.113863768868338,0.04272972018750698,1.0
Premier League,179,19,12.014114393159296,8.69134974052809,0.4337003975639898,0.9473684210526315
