League,Feature,MeanCoefficient,AbsMeanCoefficient,SD,HDILower,HDIUpper,ProbabilityPositive,ProbabilityNegative,RobustNonZero,Direction,IntervalProbability,AbsMeanRank,RobustRank
League One,Prev Squad Value,0.9682624593149336,0.9682624593149336,0.19041660148553055,0.6073430146098785,1.3140573126960478,1.0,0.0,True,positive,0.94,1.0,1
League One,Prev Expenditure,0.4193771079540999,0.4193771079540999,0.15314915055320577,0.14435626527322318,0.7097072011487391,0.99825,0.00175,True,positive,0.94,2.0,2
League One,Prev Goals Against,-0.28499160484043545,0.28499160484043545,0.06085201257189409,-0.3901901944353173,-0.16174364107016462,0.0,1.0,True,negative,0.94,3.0,3
League One,Prev Goals For,0.2735483855377183,0.2735483855377183,0.08766985086880304,0.11179396351956658,0.4414894566249842,0.998,0.002,True,positive,0.94,4.0,4
League One,Prev Expenditure_missing,-0.2032469390144887,0.2032469390144887,0.12007173039512094,-0.41522736432036816,0.03161806902971838,0.0425,0.9575,False,mixed,0.94,5.0,5
League One,Prev Points,-0.18571361500183653,0.18571361500183653,0.09661149329810803,-0.36669599589269863,0.0007717265732265985,0.02825,0.97175,False,mixed,0.94,6.0,6
League One,Prev Income_missing,0.06907448833789456,0.06907448833789456,0.09769091049354936,-0.1196964753202508,0.2488139944640303,0.76825,0.23175,False,mixed,0.94,7.0,7
League One,Prev Income,-0.05197183001138963,0.05197183001138963,0.08363715287256333,-0.22407603554529862,0.10576819818597252,0.22825,0.77175,False,mixed,0.94,8.0,8
League One,Prev Avg. Squad Age,-0.046053658289305355,0.046053658289305355,0.04294783530948202,-0.12813305163815908,0.033428128460481384,0.13525,0.86475,False,mixed,0.94,9.0,9
