Feature,Coefficient,AbsCoefficient
Prev Squad Value,0.315703042432128,0.315703042432128
Prev Expenditure,0.23881674865257133,0.23881674865257133
Prev Goals Against,-0.22086926288724965,0.22086926288724965
Prev Expenditure_missing,-0.13071568648868656,0.13071568648868656
Prev Goals For,0.11978230049230193,0.11978230049230193
Prev Income,-0.10097995892748748,0.10097995892748748
Prev Avg. Squad Age,-0.0644882428059134,0.0644882428059134
Prev Points,-0.04596741643073929,0.04596741643073929
Prev Income_missing,0.03461437313288151,0.03461437313288151
