league,n_train,n_holdout,alpha,l1_ratio,n_active_features,train_r2,train_rmse,val_rmse,holdout_rmse,holdout_mae,holdout_r2
Bundesliga,127,16,0.00010061054029105305,0.0005380800023113037,9,0.6238336591401228,8.98436310938108,1.0093362044478098,8.454306585690253,6.897518532241164,0.6383286535365182
Championship,185,20,0.00010009557420357197,0.0006250717901416618,9,0.2485013029167099,13.575502524437736,0.7507853455053858,13.52122054333988,10.829963986637642,0.3153707123216132
LaLiga,123,17,0.032624803409135414,0.826053701564546,8,0.7076755190596895,9.26122614830353,0.7307735427395573,11.094291756765386,8.908703260853965,0.5165528219054178
League One,188,24,0.0016095382848066546,0.9998657304607114,9,0.2232283893169088,14.58055226591533,0.8564774865907759,16.67184076115575,14.089088811463284,0.17112244225049422
League Two,176,22,0.06951324167588019,0.9988068576037905,5,0.09617186538087241,14.170619111899457,0.8108699879939388,12.445988314710318,10.497889539481356,-0.019151630727997526
Ligue One,140,15,0.00010009574879623408,0.0004337818197204104,9,0.4127008389324043,12.861541549398902,0.734331378910538,12.181458475854072,8.970778663128195,0.4212237911318981
Premier League,159,19,0.01247361685545393,0.9406437403084524,9,0.5728276423249126,11.766551317456361,0.6857098660579451,12.218120216142646,9.057861976394742,0.41430499670241905
Serie A,135,17,0.12024989109872483,0.6003585423973986,5,0.7110245815677557,9.640388734391154,0.7554378568971837,10.622446224877594,8.059468180837255,0.6770676456890444
