League,train_rows,holdout_rows,rmse,mae,r2,prediction_interval_coverage
Championship,208,20,13.370794221677166,10.917491959803122,0.3305192550987286,0.95
League One,208,24,15.989987540568432,13.579691869798074,0.2375356812697802,0.875
League Two,198,22,12.119169480504107,10.185094755839584,0.033669374337499614,1.0
Premier League,179,19,11.950740034131554,8.673918110386955,0.43965909187730434,0.9473684210526315
