feature,mean_abs_shap
Prev Points,0.3341523187667992
Prev Squad Value,0.1765531164262069
Prev Goals For,0.11624035694345258
Prev Goals Against,0.04617446410729246
Prev Income,0.03248178371242083
Prev Avg. Squad Age,0.020767832729506896
Prev Expenditure_missing,0.00873236593752694
Prev Expenditure,0.007127352074211278
Prev Income_missing,0.0
