feature,mean_abs_shap
Prev Points,0.32840382732610574
Prev Squad Value,0.17056281605403
Prev Goals For,0.10236325494893239
Prev Goals Against,0.05706019714923107
Prev Expenditure,0.018359786368716813
Prev Avg. Squad Age,0.0
Prev Income,0.0
Prev Expenditure_missing,0.0
Prev Income_missing,0.0
