Feature,Coefficient,AbsCoefficient
Prev Points,0.3850391965160359,0.3850391965160359
Prev Squad Value,0.2169021158108893,0.2169021158108893
Prev Goals For,0.10818691536032768,0.10818691536032768
Prev Goals Against,-0.08926390031437911,0.08926390031437911
Prev Expenditure,0.030447755299960872,0.030447755299960872
Prev Avg. Squad Age,0.0,0.0
Prev Income,0.0,0.0
Prev Expenditure_missing,0.0,0.0
Prev Income_missing,0.0,0.0
