Feature,Coefficient,AbsCoefficient
Prev Squad Value,0.31569356065148996,0.31569356065148996
Prev Expenditure,0.23881244728572404,0.23881244728572404
Prev Goals Against,-0.2208263968433256,0.2208263968433256
Prev Expenditure_missing,-0.13071594673028078,0.13071594673028078
Prev Goals For,0.11972236736024353,0.11972236736024353
Prev Income,-0.10097898266414941,0.10097898266414941
Prev Avg. Squad Age,-0.06448219370356258,0.06448219370356258
Prev Points,-0.04588904140082781,0.04588904140082781
Prev Income_missing,0.0346081206998943,0.0346081206998943
