Feature,Coefficient,AbsCoefficient
Prev Goals Against,-0.19014265995870377,0.19014265995870377
Prev Expenditure,0.0949383151271974,0.0949383151271974
Prev Goals For,0.055679422411655896,0.055679422411655896
Prev Squad Value,0.010093012986466811,0.010093012986466811
Prev Expenditure_missing,0.0038720572802765437,0.0038720572802765437
Prev Avg. Squad Age,-0.0,0.0
Prev Income,0.0,0.0
Prev Points,0.0,0.0
Prev Income_missing,0.0,0.0
