feature,mean_abs_shap
Prev Goals Against,0.1855692015063595
Prev Goals For,0.0689359767423242
Prev Expenditure,0.06251559471016119
Prev Squad Value,0.01110520295066857
Prev Expenditure_missing,0.003048885538841402
Prev Avg. Squad Age,0.0
Prev Income,0.0
Prev Points,0.0
Prev Income_missing,0.0
