League,train_rows,holdout_rows,rmse,mae,r2,prediction_interval_coverage
Championship,208,20,13.542502945233267,11.013747360054447,0.3132138030944738,0.95
League One,208,24,16.194441955744722,13.684826329027613,0.21791267318692353,0.875
League Two,198,22,12.037026708839138,10.184748886752402,0.04672440592104177,1.0
Premier League,179,19,11.9705920846512,8.652643630561723,0.4377959176692372,0.9473684210526315
