Feature,Coefficient,AbsCoefficient
Prev Squad Value,0.4719553957840209,0.4719553957840209
Prev Goals For,0.37561121204433756,0.37561121204433756
Prev Goals Against,-0.28802532322806856,0.28802532322806856
Prev Points,-0.1759244241066116,0.1759244241066116
Prev Expenditure_missing,-0.11174097017458351,0.11174097017458351
Prev Expenditure,0.0779362426577343,0.0779362426577343
Prev Income,-0.04162366779368677,0.04162366779368677
Prev Avg. Squad Age,-0.035049153580376365,0.035049153580376365
Prev Income_missing,0.0,0.0
