League,Feature,MeanCoefficient,AbsMeanCoefficient,SD,HDILower,HDIUpper,ProbabilityPositive,ProbabilityNegative,RobustNonZero,Direction,IntervalProbability,AbsMeanRank,RobustRank
Premier League,Prev Squad Value,0.9819568853347077,0.9819568853347077,0.1358316153806823,0.7376402360377007,1.2415630493549858,1.0,0.0,True,positive,0.94,1.0,1
Premier League,Prev Goals For,0.3460400981503141,0.3460400981503141,0.08503761337146135,0.19842965294151074,0.5059341890571505,1.0,0.0,True,positive,0.94,3.0,2
Premier League,Prev Goals Against,-0.3296807003824139,0.3296807003824139,0.07381641512525494,-0.4694840872009459,-0.19304233942453575,0.0,1.0,True,negative,0.94,4.0,3
Premier League,Prev Expenditure,0.22542492454777577,0.22542492454777577,0.107627035416942,0.03138038271997612,0.42700875035800934,0.98225,0.01775,True,positive,0.94,5.0,4
Premier League,Prev Expenditure_missing,-0.3499489575987504,0.3499489575987504,0.3826985496992832,-1.2325045820565113,0.21125062269803815,0.10675,0.89325,False,mixed,0.94,2.0,5
Premier League,Prev Points,-0.19186769778766333,0.19186769778766333,0.10708215287431115,-0.3873770723324001,0.007109959111744059,0.03,0.97,False,mixed,0.94,6.0,6
Premier League,Prev Avg. Squad Age,-0.05073504674322397,0.05073504674322397,0.05007024396008618,-0.15726410782965244,0.03403943791209995,0.13825,0.86175,False,mixed,0.94,7.0,7
Premier League,Prev Income,-0.042026923856427104,0.042026923856427104,0.03764795710803194,-0.11494610450011138,0.026973663204841916,0.13075,0.86925,False,mixed,0.94,8.0,8
Premier League,Prev Income_missing,-0.006361647394379606,0.006361647394379606,0.23190208569984247,-0.4766111239622547,0.38325940991684765,0.595,0.405,False,mixed,0.94,9.0,9
