feature,mean_abs_shap
Prev Goals For,0.4948304754980919
Prev Goals Against,0.47798588340900144
Prev Points,0.3495154634007934
Prev Squad Value,0.16347093118091682
Prev Income,0.08973064258487506
Prev Income_missing,0.07884294979203842
Prev Avg. Squad Age,0.028268987517661
Prev Expenditure_missing,0.0028377499961717827
Prev Expenditure,0.0007041008719691686
