Feature,Coefficient,AbsCoefficient
Prev Squad Value,0.4704152139365968,0.4704152139365968
Prev Goals For,0.3836146702598155,0.3836146702598155
Prev Goals Against,-0.2923856329740569,0.2923856329740569
Prev Points,-0.18725014983550653,0.18725014983550653
Prev Expenditure_missing,-0.11155013799049036,0.11155013799049036
Prev Expenditure,0.07782170083902058,0.07782170083902058
Prev Income,-0.04207815991275435,0.04207815991275435
Prev Avg. Squad Age,-0.03597885702184331,0.03597885702184331
Prev Income_missing,0.00029571730859330583,0.00029571730859330583
