League,train_rows,holdout_rows,rmse,mae,r2,prediction_interval_coverage
Championship,208,19,13.913228470669477,11.59047732506796,0.3073620162330587,0.9473684210526315
League One,208,24,16.058190746000008,13.547320743201128,0.23101742534318015,0.875
League Two,198,22,12.044710946462642,10.154369953669821,0.045506906865082075,1.0
Premier League,179,19,12.01148587547883,8.698798988693412,0.4339481670847858,0.9473684210526315
